id,keyword,category,intent,estimated_monthly_search_volume,competition,commercial_value_1_5,suggested_page_type,priority_cluster,notes
9382,air freight from guangzhou to indonesia cost breakdown,Long tail keywords,Specific route/cargo problem,70,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9383,air freight from guangzhou to vietnam cost breakdown,Long tail keywords,Specific route/cargo problem,110,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9384,air freight from guangzhou to thailand cost breakdown,Long tail keywords,Specific route/cargo problem,150,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9385,air freight from guangzhou to malaysia cost breakdown,Long tail keywords,Specific route/cargo problem,190,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9386,air freight from guangzhou to singapore cost breakdown,Long tail keywords,Specific route/cargo problem,220,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9387,air freight from guangzhou to australia cost breakdown,Long tail keywords,Specific route/cargo problem,260,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9388,air freight from guangzhou to new zealand cost breakdown,Long tail keywords,Specific route/cargo problem,110,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9389,air freight from guangzhou to chile cost breakdown,Long tail keywords,Specific route/cargo problem,140,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9390,air freight from guangzhou to peru cost breakdown,Long tail keywords,Specific route/cargo problem,180,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9391,air freight from guangzhou to los angeles cost breakdown,Long tail keywords,Specific route/cargo problem,300,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9392,air freight from guangzhou to new york cost breakdown,Long tail keywords,Specific route/cargo problem,250,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9393,air freight from guangzhou to chicago cost breakdown,Long tail keywords,Specific route/cargo problem,100,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9394,air freight from guangzhou to dallas cost breakdown,Long tail keywords,Specific route/cargo problem,140,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9395,air freight from guangzhou to miami cost breakdown,Long tail keywords,Specific route/cargo problem,180,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9396,air freight from guangzhou to toronto cost breakdown,Long tail keywords,Specific route/cargo problem,210,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9397,air freight from guangzhou to vancouver cost breakdown,Long tail keywords,Specific route/cargo problem,250,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9398,air freight from guangzhou to mexico city cost breakdown,Long tail keywords,Specific route/cargo problem,100,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9399,air freight from guangzhou to sao paulo cost breakdown,Long tail keywords,Specific route/cargo problem,130,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9400,air freight from guangzhou to frankfurt cost breakdown,Long tail keywords,Specific route/cargo problem,170,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9401,air freight from guangzhou to amsterdam cost breakdown,Long tail keywords,Specific route/cargo problem,210,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9402,air freight from guangzhou to paris cost breakdown,Long tail keywords,Specific route/cargo problem,240,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9403,air freight from guangzhou to milan cost breakdown,Long tail keywords,Specific route/cargo problem,90,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9404,air freight from guangzhou to madrid cost breakdown,Long tail keywords,Specific route/cargo problem,130,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9405,air freight from guangzhou to london cost breakdown,Long tail keywords,Specific route/cargo problem,170,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9406,air freight from guangzhou to dubai cost breakdown,Long tail keywords,Specific route/cargo problem,290,Medium,4,Long-tail article,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9407,air freight from guangzhou to riyadh cost breakdown,Long tail keywords,Specific route/cargo problem,240,Low,4,Long-tail article,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9408,air freight from guangzhou to jeddah cost breakdown,Long tail keywords,Specific route/cargo problem,90,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9409,air freight from guangzhou to doha cost breakdown,Long tail keywords,Specific route/cargo problem,120,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9410,air freight from guangzhou to istanbul cost breakdown,Long tail keywords,Specific route/cargo problem,160,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9411,air freight from guangzhou to lagos cost breakdown,Long tail keywords,Specific route/cargo problem,200,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9412,air freight from guangzhou to accra cost breakdown,Long tail keywords,Specific route/cargo problem,230,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9413,air freight from guangzhou to nairobi cost breakdown,Long tail keywords,Specific route/cargo problem,80,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9414,air freight from guangzhou to johannesburg cost breakdown,Long tail keywords,Specific route/cargo problem,120,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9415,air freight from guangzhou to addis ababa cost breakdown,Long tail keywords,Specific route/cargo problem,160,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9416,air freight from guangzhou to cairo cost breakdown,Long tail keywords,Specific route/cargo problem,190,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9417,air freight from guangzhou to casablanca cost breakdown,Long tail keywords,Specific route/cargo problem,230,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9418,air freight from guangzhou to tel aviv cost breakdown,Long tail keywords,Specific route/cargo problem,80,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9419,air freight from guangzhou to mumbai cost breakdown,Long tail keywords,Specific route/cargo problem,110,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9420,air freight from guangzhou to delhi cost breakdown,Long tail keywords,Specific route/cargo problem,150,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9421,air freight from guangzhou to jakarta cost breakdown,Long tail keywords,Specific route/cargo problem,190,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9422,air freight from guangzhou to bangkok cost breakdown,Long tail keywords,Specific route/cargo problem,220,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9423,air freight from guangzhou to kuala lumpur cost breakdown,Long tail keywords,Specific route/cargo problem,70,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9424,air freight from guangzhou to sydney cost breakdown,Long tail keywords,Specific route/cargo problem,110,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9425,air freight from guangzhou to melbourne cost breakdown,Long tail keywords,Specific route/cargo problem,150,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9426,air freight from ningbo to usa cost breakdown,Long tail keywords,Specific route/cargo problem,270,High,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9427,air freight from ningbo to canada cost breakdown,Long tail keywords,Specific route/cargo problem,220,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9428,air freight from ningbo to mexico cost breakdown,Long tail keywords,Specific route/cargo problem,260,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9429,air freight from ningbo to brazil cost breakdown,Long tail keywords,Specific route/cargo problem,100,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9430,air freight from ningbo to germany cost breakdown,Long tail keywords,Specific route/cargo problem,220,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9431,air freight from ningbo to france cost breakdown,Long tail keywords,Specific route/cargo problem,180,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9432,air freight from ningbo to italy cost breakdown,Long tail keywords,Specific route/cargo problem,210,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9433,air freight from ningbo to spain cost breakdown,Long tail keywords,Specific route/cargo problem,250,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9434,air freight from ningbo to united kingdom cost breakdown,Long tail keywords,Specific route/cargo problem,100,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9435,air freight from ningbo to netherlands cost breakdown,Long tail keywords,Specific route/cargo problem,140,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9436,air freight from ningbo to belgium cost breakdown,Long tail keywords,Specific route/cargo problem,170,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9437,air freight from ningbo to poland cost breakdown,Long tail keywords,Specific route/cargo problem,210,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9438,air freight from ningbo to uae cost breakdown,Long tail keywords,Specific route/cargo problem,250,Low,4,Long-tail article,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9439,air freight from ningbo to saudi arabia cost breakdown,Long tail keywords,Specific route/cargo problem,90,Medium,4,Long-tail article,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9440,air freight from ningbo to qatar cost breakdown,Long tail keywords,Specific route/cargo problem,130,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9441,air freight from ningbo to kuwait cost breakdown,Long tail keywords,Specific route/cargo problem,170,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9442,air freight from ningbo to oman cost breakdown,Long tail keywords,Specific route/cargo problem,200,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9443,air freight from ningbo to bahrain cost breakdown,Long tail keywords,Specific route/cargo problem,240,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9444,air freight from ningbo to turkey cost breakdown,Long tail keywords,Specific route/cargo problem,90,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9445,air freight from ningbo to nigeria cost breakdown,Long tail keywords,Specific route/cargo problem,130,Medium,4,Long-tail article,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9446,air freight from ningbo to ghana cost breakdown,Long tail keywords,Specific route/cargo problem,160,Medium,4,Long-tail article,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9447,air freight from ningbo to kenya cost breakdown,Long tail keywords,Specific route/cargo problem,200,Medium,4,Long-tail article,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9448,air freight from ningbo to south africa cost breakdown,Long tail keywords,Specific route/cargo problem,240,Low,4,Long-tail article,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9449,air freight from ningbo to ethiopia cost breakdown,Long tail keywords,Specific route/cargo problem,80,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9450,air freight from ningbo to tanzania cost breakdown,Long tail keywords,Specific route/cargo problem,120,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9451,air freight from ningbo to uganda cost breakdown,Long tail keywords,Specific route/cargo problem,160,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9452,air freight from ningbo to egypt cost breakdown,Long tail keywords,Specific route/cargo problem,190,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9453,air freight from ningbo to morocco cost breakdown,Long tail keywords,Specific route/cargo problem,230,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9454,air freight from ningbo to algeria cost breakdown,Long tail keywords,Specific route/cargo problem,80,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9455,air freight from ningbo to israel cost breakdown,Long tail keywords,Specific route/cargo problem,120,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9456,air freight from ningbo to india cost breakdown,Long tail keywords,Specific route/cargo problem,150,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9457,air freight from ningbo to indonesia cost breakdown,Long tail keywords,Specific route/cargo problem,190,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9458,air freight from ningbo to vietnam cost breakdown,Long tail keywords,Specific route/cargo problem,230,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9459,air freight from ningbo to thailand cost breakdown,Long tail keywords,Specific route/cargo problem,70,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9460,air freight from ningbo to malaysia cost breakdown,Long tail keywords,Specific route/cargo problem,110,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9461,air freight from ningbo to singapore cost breakdown,Long tail keywords,Specific route/cargo problem,150,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9462,air freight from ningbo to australia cost breakdown,Long tail keywords,Specific route/cargo problem,180,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9463,air freight from ningbo to new zealand cost breakdown,Long tail keywords,Specific route/cargo problem,220,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9464,air freight from ningbo to chile cost breakdown,Long tail keywords,Specific route/cargo problem,260,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9465,air freight from ningbo to peru cost breakdown,Long tail keywords,Specific route/cargo problem,110,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9466,air freight from ningbo to los angeles cost breakdown,Long tail keywords,Specific route/cargo problem,230,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9467,air freight from ningbo to new york cost breakdown,Long tail keywords,Specific route/cargo problem,180,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9468,air freight from ningbo to chicago cost breakdown,Long tail keywords,Specific route/cargo problem,220,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9469,air freight from ningbo to dallas cost breakdown,Long tail keywords,Specific route/cargo problem,250,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9470,air freight from ningbo to miami cost breakdown,Long tail keywords,Specific route/cargo problem,100,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9471,air freight from ningbo to toronto cost breakdown,Long tail keywords,Specific route/cargo problem,140,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9472,air freight from ningbo to vancouver cost breakdown,Long tail keywords,Specific route/cargo problem,170,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9473,air freight from ningbo to mexico city cost breakdown,Long tail keywords,Specific route/cargo problem,210,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9474,air freight from ningbo to sao paulo cost breakdown,Long tail keywords,Specific route/cargo problem,250,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9475,air freight from ningbo to frankfurt cost breakdown,Long tail keywords,Specific route/cargo problem,100,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9476,air freight from ningbo to amsterdam cost breakdown,Long tail keywords,Specific route/cargo problem,130,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9477,air freight from ningbo to paris cost breakdown,Long tail keywords,Specific route/cargo problem,170,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9478,air freight from ningbo to milan cost breakdown,Long tail keywords,Specific route/cargo problem,210,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9479,air freight from ningbo to madrid cost breakdown,Long tail keywords,Specific route/cargo problem,240,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9480,air freight from ningbo to london cost breakdown,Long tail keywords,Specific route/cargo problem,90,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9481,air freight from ningbo to dubai cost breakdown,Long tail keywords,Specific route/cargo problem,210,Medium,4,Long-tail article,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9482,air freight from ningbo to riyadh cost breakdown,Long tail keywords,Specific route/cargo problem,160,Low,4,Long-tail article,EASCargo core,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9483,air freight from ningbo to jeddah cost breakdown,Long tail keywords,Specific route/cargo problem,200,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9484,air freight from ningbo to doha cost breakdown,Long tail keywords,Specific route/cargo problem,240,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9485,air freight from ningbo to istanbul cost breakdown,Long tail keywords,Specific route/cargo problem,90,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9486,air freight from ningbo to lagos cost breakdown,Long tail keywords,Specific route/cargo problem,120,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9487,air freight from ningbo to accra cost breakdown,Long tail keywords,Specific route/cargo problem,160,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9488,air freight from ningbo to nairobi cost breakdown,Long tail keywords,Specific route/cargo problem,200,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9489,air freight from ningbo to johannesburg cost breakdown,Long tail keywords,Specific route/cargo problem,230,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9490,air freight from ningbo to addis ababa cost breakdown,Long tail keywords,Specific route/cargo problem,80,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9491,air freight from ningbo to cairo cost breakdown,Long tail keywords,Specific route/cargo problem,120,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9492,air freight from ningbo to casablanca cost breakdown,Long tail keywords,Specific route/cargo problem,150,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9493,air freight from ningbo to tel aviv cost breakdown,Long tail keywords,Specific route/cargo problem,190,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9494,air freight from ningbo to mumbai cost breakdown,Long tail keywords,Specific route/cargo problem,230,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9495,air freight from ningbo to delhi cost breakdown,Long tail keywords,Specific route/cargo problem,80,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9496,air freight from ningbo to jakarta cost breakdown,Long tail keywords,Specific route/cargo problem,110,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9497,air freight from ningbo to bangkok cost breakdown,Long tail keywords,Specific route/cargo problem,150,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9498,air freight from ningbo to kuala lumpur cost breakdown,Long tail keywords,Specific route/cargo problem,190,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9499,air freight from ningbo to sydney cost breakdown,Long tail keywords,Specific route/cargo problem,220,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9500,air freight from ningbo to melbourne cost breakdown,Long tail keywords,Specific route/cargo problem,70,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9501,air freight from yiwu to usa cost breakdown,Long tail keywords,Specific route/cargo problem,190,High,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9502,air freight from yiwu to canada cost breakdown,Long tail keywords,Specific route/cargo problem,140,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9503,air freight from yiwu to mexico cost breakdown,Long tail keywords,Specific route/cargo problem,180,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9504,air freight from yiwu to brazil cost breakdown,Long tail keywords,Specific route/cargo problem,220,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9505,air freight from yiwu to germany cost breakdown,Long tail keywords,Specific route/cargo problem,340,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9506,air freight from yiwu to france cost breakdown,Long tail keywords,Specific route/cargo problem,100,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9507,air freight from yiwu to italy cost breakdown,Long tail keywords,Specific route/cargo problem,140,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9508,air freight from yiwu to spain cost breakdown,Long tail keywords,Specific route/cargo problem,180,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
9509,air freight from yiwu to united kingdom cost breakdown,Long tail keywords,Specific route/cargo problem,210,Low,4,Long-tail article,Expansion,"Model-estimated keyword seed. Validate volume with GSC, Ahrefs, Semrush or Google Ads before budget decisions."
